Dataset,Filename,id_in_dataset,relative_path,real/sim,id
Aachen Impulse Response Dataset,air_office_0_1_3.wav,,,real,30
Aachen Impulse Response Dataset,air_meeting_1_0_2.wav,,,real,31
Aachen Impulse Response Dataset,air_meeting_1_1_5.wav,,,real,32
Aachen Impulse Response Dataset,air_meeting_1_1_4.wav,,,real,33
Aachen Impulse Response Dataset,air_phone_office1_hhp_2_1.wav,,,real,34
Aachen Impulse Response Dataset,air_meeting_0_0_4.wav,,,real,35
Aachen Impulse Response Dataset,air_meeting_0_0_5.wav,,,real,36
Aachen Impulse Response Dataset,air_office_0_0_1.wav,,,real,37
Aachen Impulse Response Dataset,air_phone_office1_hfrp_2_1.wav,,,real,38
Aachen Impulse Response Dataset,air_office_1_0_2.wav,,,real,39
Aachen Impulse Response Dataset,air_phone_office1_hhp_1_1.wav,,,real,40
Aachen Impulse Response Dataset,air_meeting_1_0_3.wav,,,real,41
Aachen Impulse Response Dataset,air_phone_office1_hhp_3_1.wav,,,real,42
Aachen Impulse Response Dataset,air_meeting_0_1_1.wav,,,real,43
Aachen Impulse Response Dataset,air_office_1_1_2.wav,,,real,44
Aachen Impulse Response Dataset,air_meeting_1_1_2.wav,,,real,45
Aachen Impulse Response Dataset,air_meeting_0_1_4.wav,,,real,46
Room Impulse Response and Noise Database,RVB2014_type1_rir_largeroom1_far_angla.wav,1,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_largeroom1_far_anglb.wav,2,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_largeroom1_near_angla.wav,3,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_largeroom1_near_anglb.wav,4,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_largeroom2_far_angla.wav,5,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_largeroom2_far_anglb.wav,6,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_largeroom2_near_angla.wav,7,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_largeroom2_near_anglb.wav,8,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_mediumroom1_far_angla.wav,9,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_mediumroom1_far_anglb.wav,10,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_mediumroom1_near_angla.wav,11,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_mediumroom1_near_anglb.wav,12,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_mediumroom2_far_angla.wav,13,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_mediumroom2_far_anglb.wav,14,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_mediumroom2_near_angla.wav,15,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_mediumroom2_near_anglb.wav,16,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_smallroom1_far_angla.wav,17,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_smallroom1_far_anglb.wav,18,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_smallroom1_near_angla.wav,19,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_smallroom1_near_anglb.wav,20,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_smallroom2_far_angla.wav,21,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_smallroom2_far_anglb.wav,22,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_smallroom2_near_angla.wav,23,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type1_rir_smallroom2_near_anglb.wav,24,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type2_rir_simroom1_far_angla.wav,25,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type2_rir_simroom1_far_anglb.wav,26,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type2_rir_simroom1_near_angla.wav,27,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type2_rir_simroom1_near_anglb.wav,28,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type2_rir_simroom2_far_angla.wav,29,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type2_rir_simroom2_far_anglb.wav,30,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type2_rir_simroom2_near_angla.wav,31,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type2_rir_simroom2_near_anglb.wav,32,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type2_rir_simroom3_far_angla.wav,33,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type2_rir_simroom3_far_anglb.wav,34,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type2_rir_simroom3_near_angla.wav,35,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RVB2014_type2_rir_simroom3_near_anglb.wav,36,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp000.wav,37,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp010.wav,38,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp020.wav,39,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp030.wav,40,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp040.wav,41,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp050.wav,42,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp060.wav,43,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp070.wav,44,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp080.wav,45,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp090.wav,46,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp100.wav,47,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp110.wav,48,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp120.wav,49,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp130.wav,50,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp140.wav,51,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp150.wav,52,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp160.wav,53,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp170.wav,54,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp180.wav,55,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp190.wav,56,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp200.wav,57,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp210.wav,58,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp220.wav,59,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp230.wav,60,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp240.wav,61,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp250.wav,62,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp260.wav,63,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp270.wav,64,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp280.wav,65,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp290.wav,66,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp300.wav,67,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp310.wav,68,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp320.wav,69,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp330.wav,70,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp340.wav,71,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_ane_imp350.wav,72,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1a_imp090.wav,73,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1b_imp000.wav,74,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1b_imp010.wav,75,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1b_imp020.wav,76,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1b_imp030.wav,77,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1b_imp040.wav,78,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1b_imp050.wav,79,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1b_imp060.wav,80,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1b_imp070.wav,81,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1b_imp080.wav,82,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1b_imp090.wav,83,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1b_imp100.wav,84,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1b_imp110.wav,85,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1b_imp120.wav,86,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1b_imp130.wav,87,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1b_imp140.wav,88,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1b_imp150.wav,89,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1b_imp160.wav,90,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1b_imp170.wav,91,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1b_imp180.wav,92,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1c_imp000.wav,93,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1c_imp010.wav,94,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1c_imp020.wav,95,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1c_imp030.wav,96,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1c_imp040.wav,97,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1c_imp050.wav,98,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1c_imp060.wav,99,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1c_imp070.wav,100,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1c_imp080.wav,101,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1c_imp090.wav,102,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1c_imp100.wav,103,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1c_imp110.wav,104,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1c_imp120.wav,105,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1c_imp130.wav,106,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1c_imp140.wav,107,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1c_imp150.wav,108,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1c_imp160.wav,109,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1c_imp170.wav,110,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_circle_e1c_imp180.wav,111,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_e2a_imp010.wav,112,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_e2a_imp030.wav,113,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_e2a_imp050.wav,114,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_e2a_imp070.wav,115,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_e2a_imp090.wav,116,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_e2a_imp110.wav,117,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_e2a_imp130.wav,118,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_e2a_imp150.wav,119,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_e2a_imp170.wav,120,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_e2b_imp010.wav,121,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_e2b_imp030.wav,122,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_e2b_imp050.wav,123,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_e2b_imp070.wav,124,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_e2b_imp090.wav,125,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_e2b_imp110.wav,126,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_e2b_imp130.wav,127,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_e2b_imp150.wav,128,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_e2b_imp170.wav,129,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_jr1_imp050.wav,130,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_jr1_imp060.wav,131,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_jr1_imp070.wav,132,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_jr1_imp080.wav,133,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_jr1_imp090.wav,134,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_jr1_imp100.wav,135,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_jr1_imp110.wav,136,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_jr1_imp120.wav,137,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_jr1_imp130.wav,138,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_jr2_imp060.wav,139,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_jr2_imp070.wav,140,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_jr2_imp080.wav,141,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_jr2_imp090.wav,142,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_jr2_imp100.wav,143,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_jr2_imp110.wav,144,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_jr2_imp120.wav,145,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_ofc_imp050.wav,146,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_ofc_imp060.wav,147,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_ofc_imp070.wav,148,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_ofc_imp080.wav,149,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_ofc_imp090.wav,150,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_ofc_imp100.wav,151,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_ofc_imp110.wav,152,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_ofc_imp120.wav,153,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type1_rir_cirline_ofc_imp130.wav,154,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_ane_imp050.wav,155,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_ane_imp070.wav,156,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_ane_imp090.wav,157,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_ane_imp110.wav,158,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_ane_imp130.wav,159,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_e2a_imp050.wav,160,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_e2a_imp070.wav,161,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_e2a_imp090.wav,162,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_e2a_imp110.wav,163,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_e2a_imp130.wav,164,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_e2b_imp050.wav,165,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_e2b_imp070.wav,166,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_e2b_imp090.wav,167,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_e2b_imp110.wav,168,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_e2b_imp130.wav,169,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_jr1_imp050.wav,170,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_jr1_imp070.wav,171,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_jr1_imp090.wav,172,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_jr1_imp110.wav,173,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_jr1_imp130.wav,174,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_ofc_imp050.wav,175,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_ofc_imp070.wav,176,RIRS_NOISES/real_rirs_isotropic_noises,real,
Room Impulse Response and Noise Database,RWCP_type2_rir_cirline_ofc_imp090.wav,177,RIRS_NOISES/real_rirs_isotropic_noises,real,
